tg_path,singer,duration_s,n_tiers,tier_names,n_word,n_phone,n_mix,n_falsetto,n_breathy,n_pharyngeal,n_vibrato,n_glissando,n_global
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Breathy_Group/0007.TextGrid,EN-Tenor-1,9.283,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,11,29,29.0,29.0,29.0,29.0,29.0,29.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Breathy_Group/0003.TextGrid,EN-Tenor-1,9.608,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,24,84,84.0,84.0,84.0,84.0,84.0,84.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Breathy_Group/0008.TextGrid,EN-Tenor-1,11.074,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,14,45,45.0,45.0,45.0,45.0,45.0,45.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Million Reasons/Breathy_Group/0005.TextGrid,EN-Tenor-1,9.249,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,15,36,36.0,36.0,36.0,36.0,36.0,36.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Paired_Speech_Group/0002.TextGrid,EN-Tenor-1,6.717,2,word|phone,18,57,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Paired_Speech_Group/0000.TextGrid,EN-Tenor-1,4.303,2,word|phone,15,45,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Paired_Speech_Group/0001.TextGrid,EN-Tenor-1,2.692,2,word|phone,10,23,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Paired_Speech_Group/0004.TextGrid,EN-Tenor-1,3.494,2,word|phone,10,26,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Paired_Speech_Group/0006.TextGrid,EN-Tenor-1,2.835,2,word|phone,9,24,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Paired_Speech_Group/0007.TextGrid,EN-Tenor-1,5.617,2,word|phone,20,45,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Paired_Speech_Group/0003.TextGrid,EN-Tenor-1,3.164,2,word|phone,10,26,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Paired_Speech_Group/0005.TextGrid,EN-Tenor-1,4.614,2,word|phone,11,32,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Control_Group/0002.TextGrid,EN-Tenor-1,13.521,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,17,56,56.0,56.0,56.0,56.0,56.0,56.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Control_Group/0000.TextGrid,EN-Tenor-1,10.967,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,16,45,45.0,45.0,45.0,45.0,45.0,45.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Control_Group/0001.TextGrid,EN-Tenor-1,8.176,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,10,23,23.0,23.0,23.0,23.0,23.0,23.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Control_Group/0004.TextGrid,EN-Tenor-1,9.972,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,11,26,26.0,26.0,26.0,26.0,26.0,26.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Control_Group/0006.TextGrid,EN-Tenor-1,6.782,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,9,23,23.0,23.0,23.0,23.0,23.0,23.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Control_Group/0007.TextGrid,EN-Tenor-1,11.774,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,19,42,42.0,42.0,42.0,42.0,42.0,42.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Control_Group/0003.TextGrid,EN-Tenor-1,8.052,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,11,25,25.0,25.0,25.0,25.0,25.0,25.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Control_Group/0005.TextGrid,EN-Tenor-1,7.891,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,12,33,33.0,33.0,33.0,33.0,33.0,33.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Breathy_Group/0002.TextGrid,EN-Tenor-1,11.257,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,18,57,57.0,57.0,57.0,57.0,57.0,57.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Breathy_Group/0000.TextGrid,EN-Tenor-1,10.785,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,16,45,45.0,45.0,45.0,45.0,45.0,45.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Breathy_Group/0001.TextGrid,EN-Tenor-1,7.717,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,11,25,25.0,25.0,25.0,25.0,25.0,25.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Breathy_Group/0004.TextGrid,EN-Tenor-1,10.163,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,13,29,29.0,29.0,29.0,29.0,29.0,29.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Breathy_Group/0006.TextGrid,EN-Tenor-1,6.432,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,9,23,23.0,23.0,23.0,23.0,23.0,23.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Breathy_Group/0007.TextGrid,EN-Tenor-1,11.833,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,20,44,44.0,44.0,44.0,44.0,44.0,44.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Breathy_Group/0003.TextGrid,EN-Tenor-1,7.82,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,12,26,26.0,26.0,26.0,26.0,26.0,26.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Someone Like You/Breathy_Group/0005.TextGrid,EN-Tenor-1,7.722,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,12,33,33.0,33.0,33.0,33.0,33.0,33.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Unconditionally/Paired_Speech_Group/0000.TextGrid,EN-Tenor-1,4.303,2,word|phone,9,49,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Unconditionally/Paired_Speech_Group/0001.TextGrid,EN-Tenor-1,5.186,2,word|phone,17,52,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Unconditionally/Control_Group/0000.TextGrid,EN-Tenor-1,15.304,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,9,49,49.0,49.0,49.0,49.0,49.0,49.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Unconditionally/Control_Group/0001.TextGrid,EN-Tenor-1,17.045,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,18,53,53.0,53.0,53.0,53.0,53.0,53.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Unconditionally/Breathy_Group/0000.TextGrid,EN-Tenor-1,14.753,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,11,51,51.0,51.0,51.0,51.0,51.0,51.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Unconditionally/Breathy_Group/0001.TextGrid,EN-Tenor-1,14.813,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,18,53,53.0,53.0,53.0,53.0,53.0,53.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0011.TextGrid,EN-Tenor-1,2.18,2,word|phone,7,22,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0012.TextGrid,EN-Tenor-1,1.9,2,word|phone,7,15,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0002.TextGrid,EN-Tenor-1,3.947,2,word|phone,14,46,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0013.TextGrid,EN-Tenor-1,3.241,2,word|phone,12,38,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0000.TextGrid,EN-Tenor-1,4.664,2,word|phone,16,42,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0001.TextGrid,EN-Tenor-1,2.904,2,word|phone,12,30,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0004.TextGrid,EN-Tenor-1,6.802,2,word|phone,25,62,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0006.TextGrid,EN-Tenor-1,2.92,2,word|phone,11,32,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0009.TextGrid,EN-Tenor-1,6.161,2,word|phone,22,60,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0007.TextGrid,EN-Tenor-1,2.311,2,word|phone,7,22,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0003.TextGrid,EN-Tenor-1,2.98,2,word|phone,12,26,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0008.TextGrid,EN-Tenor-1,3.42,2,word|phone,13,31,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0010.TextGrid,EN-Tenor-1,2.411,2,word|phone,11,32,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Paired_Speech_Group/0005.TextGrid,EN-Tenor-1,2.54,2,word|phone,9,26,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0011.TextGrid,EN-Tenor-1,8.601,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,9,24,24.0,24.0,24.0,24.0,24.0,24.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0012.TextGrid,EN-Tenor-1,6.45,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,8,17,17.0,17.0,17.0,17.0,17.0,17.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0002.TextGrid,EN-Tenor-1,9.952,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,14,45,45.0,45.0,45.0,45.0,45.0,45.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0013.TextGrid,EN-Tenor-1,11.321,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,13,39,39.0,39.0,39.0,39.0,39.0,39.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0000.TextGrid,EN-Tenor-1,10.003,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,16,42,42.0,42.0,42.0,42.0,42.0,42.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0001.TextGrid,EN-Tenor-1,7.23,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,12,30,30.0,30.0,30.0,30.0,30.0,30.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0004.TextGrid,EN-Tenor-1,13.041,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,22,59,59.0,59.0,59.0,59.0,59.0,59.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0006.TextGrid,EN-Tenor-1,8.251,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,12,33,33.0,33.0,33.0,33.0,33.0,33.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0009.TextGrid,EN-Tenor-1,13.581,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,22,61,61.0,61.0,61.0,61.0,61.0,61.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0007.TextGrid,EN-Tenor-1,7.31,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,8,23,23.0,23.0,23.0,23.0,23.0,23.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0003.TextGrid,EN-Tenor-1,8.311,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,12,26,26.0,26.0,26.0,26.0,26.0,26.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0008.TextGrid,EN-Tenor-1,6.951,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,13,31,31.0,31.0,31.0,31.0,31.0,31.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0010.TextGrid,EN-Tenor-1,8.171,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,11,32,32.0,32.0,32.0,32.0,32.0,32.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Control_Group/0005.TextGrid,EN-Tenor-1,6.46,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,9,27,27.0,27.0,27.0,27.0,27.0,27.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0011.TextGrid,EN-Tenor-1,6.011,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,8,23,23.0,23.0,23.0,23.0,23.0,23.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0012.TextGrid,EN-Tenor-1,5.945,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,8,16,16.0,16.0,16.0,16.0,16.0,16.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0002.TextGrid,EN-Tenor-1,10.614,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,15,46,46.0,46.0,46.0,46.0,46.0,46.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0013.TextGrid,EN-Tenor-1,10.197,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,12,38,38.0,38.0,38.0,38.0,38.0,38.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0000.TextGrid,EN-Tenor-1,9.202,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,15,42,42.0,42.0,42.0,42.0,42.0,42.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0001.TextGrid,EN-Tenor-1,6.774,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,12,30,30.0,30.0,30.0,30.0,30.0,30.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0004.TextGrid,EN-Tenor-1,12.461,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,24,60,60.0,60.0,60.0,60.0,60.0,60.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0006.TextGrid,EN-Tenor-1,7.315,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,12,33,33.0,33.0,33.0,33.0,33.0,33.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0009.TextGrid,EN-Tenor-1,11.186,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,21,58,58.0,58.0,58.0,58.0,58.0,58.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0007.TextGrid,EN-Tenor-1,5.536,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,7,22,22.0,22.0,22.0,22.0,22.0,22.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0003.TextGrid,EN-Tenor-1,7.561,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,12,26,26.0,26.0,26.0,26.0,26.0,26.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0008.TextGrid,EN-Tenor-1,6.771,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,13,32,32.0,32.0,32.0,32.0,32.0,32.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0010.TextGrid,EN-Tenor-1,7.295,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,12,32,32.0,32.0,32.0,32.0,32.0,32.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Always Remember Us This Way/Breathy_Group/0005.TextGrid,EN-Tenor-1,4.891,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,8,26,26.0,26.0,26.0,26.0,26.0,26.0,1.0
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0011.TextGrid,EN-Tenor-1,5.053,2,word|phone,18,41,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0012.TextGrid,EN-Tenor-1,5.703,2,word|phone,18,50,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0002.TextGrid,EN-Tenor-1,4.061,2,word|phone,15,44,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0013.TextGrid,EN-Tenor-1,1.61,2,word|phone,9,28,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0000.TextGrid,EN-Tenor-1,3.351,2,word|phone,13,38,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0001.TextGrid,EN-Tenor-1,3.821,2,word|phone,13,37,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0004.TextGrid,EN-Tenor-1,3.952,2,word|phone,15,36,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0014.TextGrid,EN-Tenor-1,2.303,2,word|phone,10,30,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0006.TextGrid,EN-Tenor-1,5.543,2,word|phone,20,61,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0009.TextGrid,EN-Tenor-1,2.922,2,word|phone,9,20,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0007.TextGrid,EN-Tenor-1,11.725,2,word|phone,40,102,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0003.TextGrid,EN-Tenor-1,3.571,2,word|phone,14,39,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0008.TextGrid,EN-Tenor-1,2.422,2,word|phone,11,30,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0010.TextGrid,EN-Tenor-1,1.84,2,word|phone,4,4,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Paired_Speech_Group/0005.TextGrid,EN-Tenor-1,3.831,2,word|phone,12,33,,,,,,,
/content/atlas/English_raw/English/EN-Tenor-1/Breathy/Shallow/Control_Group/0011.TextGrid,EN-Tenor-1,10.524,9,word|phone|mix|falsetto|breathy|pharyngeal|vibrato|glissando|global,16,39,39.0,39.0,39.0,39.0,39.0,39.0,1.0
