phoneme,dur_ms,f0_mean,f0_std,f0_range,singer_id,technique,has_mix,has_falsetto,has_breathy,has_pharyngeal,has_vibrato,has_glissando
L,40.000000000000036,344.8431711754643,6.7156022740232775,17.494606403680677,EN-Alto-2,glissando,1,0,0,0,0,0
DH,40.000000000000036,349.98072135329414,9.824784980273526,24.6601749522423,EN-Alto-2,glissando,1,0,0,0,0,0
AH0,60.0000000000005,356.47994919611784,1.8352380615219857,5.055330587086189,EN-Alto-2,glissando,1,0,0,0,0,0
P,169.99999999999994,349.8616633981334,8.278122234450187,24.406472330959105,EN-Alto-2,glissando,1,0,0,0,0,0
EY1,339.9999999999999,351.89496419500597,4.595200299954734,23.989345257848356,EN-Alto-2,glissando,1,0,0,0,0,0
N,39.99999999999915,373.32137978016664,3.617118809537632,8.853645985613014,EN-Alto-2,glissando,1,0,0,0,0,0
<AP>,432.0000000000004,297.0230116362825,82.14959227413325,174.6946877133139,EN-Alto-2,glissando,0,0,0,0,0,0
AH1,50.000000000000014,210.47806754210598,2.377680730557239,6.00480126124657,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
M,169.99999999999997,203.55276642264357,1.5568363012244344,5.699941288824164,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
AA2,240.00000000000006,235.15141289836848,4.345530861061682,14.496773419192834,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
D,69.99999999999996,192.6214405202313,3.443551224878255,8.328843442348017,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
IY0,99.99999999999997,206.17570718439248,3.2110508277236773,9.863198321197217,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
AH0,162.00000000000014,331.7019622778149,5.183538844656838,18.929473418278633,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
N,129.9999999999999,272.27813745621694,18.764330042668576,60.78117222393976,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
OW1,1150.0,291.23255700042665,12.872532151171157,37.03172366275476,EN-Tenor-1,mixed_voice,1,0,0,0,0,1
AH1,70.00000000000028,217.39553686544477,3.487675090500229,10.180135699200946,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
M,119.99999999999966,200.62755120561158,4.433515283256467,15.828646475481833,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
B,40.000000000000036,194.89068742222344,4.94399298861838,12.694777091648376,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
AA2,200.00000000000017,198.71663280042247,2.293521143644217,7.876576173608385,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
D,40.000000000000036,192.31296787093285,1.544532269150615,3.9001372769869533,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
IY0,120.00000000000011,198.80985841263254,4.081323714046413,11.06579794458986,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
AH0,110.00000000000031,204.8967798649946,5.04693663962948,15.371123031139149,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
HH,139.9999999999997,179.9745212505729,6.583170417493026,20.33685181828986,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
AE1,700.0000000000006,284.08636095255974,16.51624345461029,66.58424876836403,EN-Tenor-1,mixed_voice,1,0,0,0,0,1
V,41.999999999999815,272.9450132874318,3.273045359543624,7.781378078405169,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
AH1,89.99999999999986,341.66280187067827,3.1595436755517423,10.555260532762532,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
M,139.9999999999997,321.81769599007646,3.51348374737965,14.26220870923322,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
B,40.000000000000036,333.4045071495309,14.33437779731004,30.650815449518348,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
AA2,220.00000000000063,335.5191543014171,3.885479503509998,14.49856835060757,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
D,49.99999999999982,307.78450186781026,4.387457902218306,11.77921534127887,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
IY0,99.99999999999964,306.56071987543703,2.064159431068738,6.6298389502939585,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
AH0,160.00000000000014,251.29464746000264,12.447733334808527,41.05044795160515,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
HH,70.00000000000028,205.74838934389797,6.397993034394678,19.08801028719543,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
OW1,660.0000000000001,213.15484614219284,13.468247140258514,46.306712632227516,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
L,399.9999999999995,205.9987740247935,2.3875566245277553,8.718240234332825,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
D,40.000000000000036,197.3314982297564,1.3438832841417745,3.579534203302501,EN-Tenor-1,mixed_voice,1,0,0,0,0,0
<SP>,100.00000000000054,198.86042990319467,1.2294287335016647,3.699718355914058,EN-Tenor-1,mixed_voice,0,0,0,0,0,0
AY1,400.0,368.62031158076616,4.287536988788927,17.384665195831985,EN-Alto-2,mixed_voice,0,1,0,0,0,0
W,120.0,388.71767009053656,16.333072283877296,45.72935676214439,EN-Alto-2,mixed_voice,0,1,0,0,0,0
IH1,120.0,427.5679729466107,3.677594121453883,10.818759877549041,EN-Alto-2,mixed_voice,0,1,0,0,0,0
SH,109.99999999999999,428.6367667112574,7.042008898356451,27.519556939964616,EN-Alto-2,mixed_voice,0,1,0,0,0,0
N,199.99999999999994,438.77106948404236,3.1016540734360616,8.275381058103392,EN-Alto-2,mixed_voice,0,1,0,0,0,0
AH1,150.00000000000014,442.5433523367145,3.0626834568377963,11.312663271572433,EN-Alto-2,mixed_voice,0,1,0,0,0,0
TH,149.99999999999991,422.84756844598235,28.333859075647265,101.55890197668714,EN-Alto-2,mixed_voice,0,1,0,0,0,0
IH0,219.99999999999997,336.275177414813,2.6231973995150093,7.918383503713358,EN-Alto-2,mixed_voice,0,1,0,0,0,0
NG,150.00000000000014,330.0949033597948,6.615291265907909,22.832102995062257,EN-Alto-2,mixed_voice,0,1,0,0,0,0
B,49.99999999999982,301.88580187502197,22.586895041746654,57.59860586267496,EN-Alto-2,mixed_voice,0,1,0,0,0,0
AH1,320.00000000000006,334.56829079358806,2.257931861275249,7.551639853097072,EN-Alto-2,mixed_voice,0,1,0,0,0,0
T,70.00000000000006,334.83164758786774,2.1669271103066072,5.275750414825154,EN-Alto-2,mixed_voice,0,1,0,0,0,0
AH0,420.99999999999983,436.92229360428536,8.643956967114056,26.056889035847803,EN-Alto-2,mixed_voice,0,1,0,0,0,0
B,50.00000000000027,432.1031144226163,3.6406318522304653,8.556942189841834,EN-Alto-2,mixed_voice,0,1,0,0,0,0
EH1,710.0,405.72901878171905,22.854262516941,57.080848936570476,EN-Alto-2,mixed_voice,0,1,0,0,0,1
S,119.99999999999966,377.18108619324084,5.810580586723673,15.08993531764861,EN-Alto-2,mixed_voice,0,1,0,0,0,0
T,70.00000000000028,380.53423661981304,1.2797593553518751,3.0869324344789675,EN-Alto-2,mixed_voice,0,1,0,0,0,0
AO1,600.0000000000001,421.0232571751394,24.229843920674867,83.69903260409802,EN-Alto-2,mixed_voice,0,1,0,0,0,1
R,80.00000000000007,373.5464430853598,1.8254196987412625,5.100803460948498,EN-Alto-2,mixed_voice,0,1,0,0,0,1
Y,120.00000000000011,371.2422986118604,4.877024245264233,16.105346474606847,EN-Alto-2,mixed_voice,0,1,0,0,0,0
UW1,1319.0,376.11058865269155,2.8994729800995356,11.566680853047615,EN-Alto-2,mixed_voice,0,1,0,0,0,0
T,451.99999999999994,373.9594328412979,9.172125428476424,49.03367625714043,EN-Alto-2,mixed_voice,0,1,0,0,0,0
UW1,439.00000000000006,439.08526041453314,4.900084879227764,24.01276136442459,EN-Alto-2,mixed_voice,0,1,0,0,0,0
<AP>,408.99999999999983,436.2018744183442,3.3922362358767573,12.506684442773178,EN-Alto-2,mixed_voice,0,0,0,0,0,0
AA1,770.0,341.7013794980946,18.968260108354162,55.395883325835314,EN-Tenor-1,glissando,1,0,0,0,0,1
L,274.9999999999999,326.9422566799611,10.85340689262965,37.73941766830126,EN-Tenor-1,glissando,1,0,0,0,0,1
AY1,1123.0000000000002,310.40944026906607,16.36296555188917,46.04613660287919,EN-Tenor-1,glissando,1,0,0,0,0,1
AE1,235.99999999999977,280.4807888344576,1.8123232588789047,6.168018950665271,EN-Tenor-1,glissando,1,0,0,0,0,0
S,137.0,278.758974358999,2.8504811724253813,11.455416031327388,EN-Tenor-1,glissando,1,0,0,0,0,0
K,185.99999999999994,280.4198461423194,2.0388247915257813,6.596751193318198,EN-Tenor-1,glissando,1,0,0,0,0,0
IH0,688.9999999999997,239.6480821999681,29.57359761630532,93.96218743819179,EN-Tenor-1,glissando,1,0,0,0,0,1
Z,490.0000000000002,318.6110792257142,19.08479850482615,77.56978392715615,EN-Tenor-1,glissando,1,0,0,0,0,1
IH0,607.9999999999997,343.7508871941197,15.090265565869085,39.156095996460294,EN-Tenor-1,glissando,1,0,0,0,0,1
F,1173.0,356.77364093653256,5.660474165424674,31.783234457323545,EN-Tenor-1,glissando,1,0,0,0,0,0
DH,124.00000000000055,355.19588448905694,2.043537385046905,7.07337496935213,EN-Tenor-1,glissando,1,0,0,0,0,0
IH0,105.99999999999987,349.74476573235654,7.201412910390903,23.421266461434186,EN-Tenor-1,glissando,1,0,0,0,0,0
S,136.99999999999957,346.4936919813172,6.608475324298162,17.360466885825076,EN-Tenor-1,glissando,1,0,0,0,0,0
IH0,294.99999999999994,378.3420062440519,7.157054541117183,20.41066778315775,EN-Tenor-1,glissando,1,0,0,0,0,0
Z,50.00000000000071,377.46394551076514,15.35085687255185,34.735397169005864,EN-Tenor-1,glissando,1,0,0,0,0,0
M,59.99999999999961,419.25542965382925,10.40944001145813,26.323330718560953,EN-Tenor-1,glissando,1,0,0,0,0,0
AY1,209.99999999999997,426.21092238305425,7.318406663229281,30.62535782389608,EN-Tenor-1,glissando,1,0,0,0,0,0
L,70.00000000000028,386.18557918090727,4.814068035131262,14.21316693923228,EN-Tenor-1,glissando,1,0,0,0,0,0
AE1,1739.9999999999993,416.23520234956675,15.424130088032937,58.06476357680185,EN-Tenor-1,glissando,1,0,0,0,0,1
T,100.99999999999909,369.9036609214384,3.947240895238823,10.814854592431118,EN-Tenor-1,glissando,1,0,0,0,0,0
N,30.000000000001137,376.2728821983467,2.222153209834408,5.411762558842668,EN-Tenor-1,glissando,1,0,0,0,0,0
AY1,952.0,370.81128392131797,14.971759704319625,48.135070529858865,EN-Tenor-1,glissando,1,0,0,0,0,1
W,315.999999999999,356.46582494748617,1.3723732080166626,5.75004081621239,EN-Tenor-1,glissando,1,0,0,0,0,0
IH1,477.00000000000034,355.8965617930822,0.6753539278338514,2.426296012377861,EN-Tenor-1,glissando,1,0,0,0,0,0
TH,185.99999999999994,353.2498699744995,6.041672075005951,20.40381537365107,EN-Tenor-1,glissando,1,0,0,0,0,0
Y,1440.0000000000014,372.4254382344273,2.173161305777577,16.989719608141854,EN-Tenor-1,glissando,1,0,0,0,0,0
UW1,149.99999999999858,373.37266210832956,5.392517122984463,18.633594200460436,EN-Tenor-1,glissando,1,0,0,0,0,0
<AP>,610.0000000000013,371.2999923481348,1.5887134659219115,6.388447958385086,EN-Tenor-1,glissando,0,0,0,0,0,0
AY1,150.0,426.8062969558454,29.543413106800422,107.32814304276155,EN-Alto-1,mixed_voice,1,0,0,0,0,0
M,89.0,445.402525206472,3.124106075143681,8.973420617923239,EN-Alto-1,mixed_voice,1,0,0,0,0,0
N,40.000000000000036,457.26764943790783,4.54744805505254,11.757077119422718,EN-Alto-1,mixed_voice,1,0,0,0,0,0
EH1,319.99999999999994,461.0247531655254,1.830999966845352,7.219161961251757,EN-Alto-1,mixed_voice,1,0,0,0,0,0
V,81.00000000000007,460.9656496968114,5.03780930442702,16.432606011359894,EN-Alto-1,mixed_voice,1,0,0,0,0,0
ER0,339.99999999999994,459.84852402346746,4.487309831825313,24.326086361811065,EN-Alto-1,mixed_voice,1,0,0,0,0,0
G,119.0,445.3629924302039,7.657346677527827,19.803519984974685,EN-Alto-1,mixed_voice,1,0,0,0,0,0
OW1,619.9999999999999,416.37883980643755,41.04139296840284,112.22526083014424,EN-Alto-1,mixed_voice,1,0,0,0,0,1
IH0,160.00000000000014,371.4175073037801,0.29401097354824124,1.0266975471137698,EN-Alto-1,mixed_voice,1,0,0,0,0,0
NG,89.99999999999986,364.5248903914563,2.0633355470376857,7.695171730434652,EN-Alto-1,mixed_voice,1,0,0,0,0,0
B,31.00000000000014,363.54651895934074,3.8181177138090803,9.029837537957462,EN-Alto-1,mixed_voice,1,0,0,0,0,0
AE1,258.9999999999999,370.0403189560606,3.4081202118562026,17.170493771072415,EN-Alto-1,mixed_voice,1,0,0,0,0,0
K,131.00000000000023,364.6806097745673,4.9207355720286206,17.572672663423077,EN-Alto-1,mixed_voice,1,0,0,0,0,0
DH,40.000000000000036,386.5192368623065,1.6481735010886673,4.025281928458469,EN-Alto-1,mixed_voice,1,0,0,0,0,0
AH0,190.99999999999983,387.90119679487503,9.068321842475411,25.754868221652202,EN-Alto-1,mixed_voice,1,0,0,0,0,0
P,70.00000000000028,372.9083732882659,18.255052593318222,43.26076709396688,EN-Alto-1,mixed_voice,1,0,0,0,0,0
AE1,259.9999999999998,407.63918172577723,9.758123014512377,29.51133274226612,EN-Alto-1,mixed_voice,1,0,0,0,0,0
S,149.99999999999991,409.6747501027591,3.016610932751227,7.240705774710932,EN-Alto-1,mixed_voice,1,0,0,0,0,0
IH1,189.99999999999994,388.83566950022833,6.8849307521355545,21.137657112571446,EN-Alto-1,mixed_voice,1,0,0,0,0,0
Z,89.99999999999986,391.9270203810749,27.124624256496073,72.55992217336632,EN-Alto-1,mixed_voice,1,0,0,0,0,0
IH1,330.00000000000006,419.01568446815253,6.300333310155175,24.57989103164192,EN-Alto-1,mixed_voice,1,0,0,0,0,0
N,70.00000000000028,416.80321119087176,6.600165547927033,19.96181561507393,EN-Alto-1,mixed_voice,1,0,0,0,0,0
AH0,394.0000000000001,457.26248945093454,2.7050692842203317,11.303971573607782,EN-Alto-1,mixed_voice,1,0,0,0,0,0
P,2496.0000000000005,488.15105267302687,8.234812190552113,89.20305757161441,EN-Alto-1,mixed_voice,1,0,0,0,0,0
S,40.000000000000036,487.3058893416995,0.3939033075897543,0.9806867690545573,EN-Alto-1,mixed_voice,1,0,0,0,0,0
T,120.00000000000011,491.18199356544466,2.3850199986086653,6.155837041046539,EN-Alto-1,mixed_voice,1,0,0,0,0,0
AH0,310.00000000000006,376.03544476452106,10.261600320312677,29.856222842577495,EN-Alto-2,mixed_voice,0,1,0,0,0,0
L,79.99999999999984,383.2719377116699,2.442518255764546,7.494054867449279,EN-Alto-2,mixed_voice,0,1,0,0,0,0
OW1,229.99999999999997,394.2482437703168,2.23940791870709,6.593966172147304,EN-Alto-2,mixed_voice,0,1,0,0,0,0
F,140.0000000000001,402.65746131728287,27.516597751415773,100.59249635397418,EN-Alto-2,mixed_voice,0,1,0,0,0,0
R,30.00000000000025,487.207396261277,1.8544403087543746,4.542266367081538,EN-Alto-2,mixed_voice,0,1,0,0,0,0
AH1,169.99999999999994,468.6368390274757,6.358911862348945,21.424426943542414,EN-Alto-2,mixed_voice,0,1,0,0,0,0
M,29.999999999999805,466.3886449840095,1.382517319033873,3.3152178266949477,EN-Alto-2,mixed_voice,0,1,0,0,0,0
AH0,419.00000000000006,475.0102531835554,5.114335717411759,17.966072389307897,EN-Alto-2,mixed_voice,0,1,0,0,0,0
AH1,330.99999999999994,514.4895295185252,19.864679433182385,56.84106832593329,EN-Alto-2,mixed_voice,0,1,0,0,0,0
DH,242.0,524.9426611962255,6.763514227665634,29.956311525482704,EN-Alto-2,mixed_voice,0,1,0,0,0,0
ER0,124.00000000000011,523.1297999804768,3.6289890981212913,9.966795408217763,EN-Alto-2,mixed_voice,0,1,0,0,0,0
S,3017.0000000000005,504.5724230824209,40.702937249291324,176.09407144799331,EN-Alto-2,mixed_voice,0,1,0,0,0,1
AY1,59.99999999999961,391.10941591495725,0.49219202665104894,1.239474882610466,EN-Alto-2,mixed_voice,0,1,0,0,0,0
D,80.00000000000007,395.06006189350927,3.0795562042715847,8.472469422954191,EN-Alto-2,mixed_voice,0,1,0,0,0,0
EY1,540.0,297.80315257507857,16.414759927568582,48.27309702486991,EN-Alto-2,mixed_voice,0,1,0,0,0,0
M,140.0,310.5656477784176,2.826948005604252,10.403619830540777,EN-Alto-2,mixed_voice,0,1,0,0,0,0
R,50.00000000000004,241.58560366090367,0.8016499280576531,2.211089090818888,EN-Alto-2,mixed_voice,0,1,0,0,0,0
UW1,539.9999999999999,244.32946877916564,0.9244034071490898,5.301457938139066,EN-Alto-2,mixed_voice,0,1,0,0,0,0
EH1,180.00000000000017,271.0392700165705,2.404825062109839,7.967476388768887,EN-Alto-2,mixed_voice,0,1,0,0,0,0
S,129.9999999999999,268.10696991078913,1.6525100651464746,4.524994024331875,EN-Alto-2,mixed_voice,0,1,0,0,0,0
IY1,100.00000000000009,240.11039003285788,3.652414098602835,11.676619720559216,EN-Alto-2,mixed_voice,0,1,0,0,0,0
G,139.9999999999997,225.7687432153898,0.819988271295737,1.8759790178245055,EN-Alto-2,mixed_voice,0,1,0,0,0,0
EY1,229.99999999999997,211.42301803834715,5.746513383734844,19.631673006987853,EN-Alto-2,mixed_voice,0,1,0,0,0,0
V,111.00000000000021,197.6542474014337,5.0032850002201785,12.970264705753209,EN-Alto-2,mixed_voice,0,1,0,0,0,0
Y,40.000000000000036,198.66183785904684,1.797774529019773,4.618515092755985,EN-Alto-2,mixed_voice,0,1,0,0,0,0
UW1,89.99999999999986,198.09982410466807,0.6828611058657449,1.8997215764931639,EN-Alto-2,mixed_voice,0,1,0,0,0,0
TH,209.99999999999997,214.72293987617658,21.11989681196839,45.56982261777094,EN-Alto-2,mixed_voice,0,1,0,0,0,0
IH1,520.0,245.74540098753653,1.0346371208468,4.345629789582148,EN-Alto-2,mixed_voice,0,1,0,0,0,0
NG,529.9999999999998,228.2614447869529,23.07841676443212,55.89413358851098,EN-Alto-2,mixed_voice,0,1,0,0,0,1
Z,30.00000000000025,201.43812569770247,1.273041726981795,3.0361738250399526,EN-Alto-2,mixed_voice,0,1,0,0,0,0
<AP>,1269.9999999999995,177.16506882790574,58.896682460518996,170.8402834034979,EN-Alto-2,mixed_voice,0,0,0,0,0,0
AY1,40.000000000000036,187.89838528071505,4.889963339421481,13.298008409987403,EN-Alto-2,mixed_voice,0,1,0,0,0,0
IH1,169.99999999999994,199.98814882918182,2.086142720910221,6.539501722192483,EN-Alto-2,mixed_voice,0,1,0,0,0,0
D,29.99999999999936,198.60993487717215,2.101952836861705,4.920598543320978,EN-Alto-2,mixed_voice,0,1,0,0,0,0
AH0,60.0000000000005,204.79857996444846,0.9326538109848281,2.806211847195584,EN-Alto-2,mixed_voice,0,1,0,0,0,0
N,70.00000000000028,205.467106653041,0.29449137517698604,0.9001288765397817,EN-Alto-2,mixed_voice,0,1,0,0,0,0
IH1,129.9999999999999,281.3445395211065,2.652528202747617,7.61036851765283,EN-Alto-2,mixed_voice,0,1,0,0,0,0
V,50.00000000000071,281.79330191434263,0.8056721055305998,1.919291751815308,EN-Alto-2,mixed_voice,0,1,0,0,0,0
UW1,40.000000000000036,244.58707375519558,0.1625563159901594,0.4211069420198612,EN-Alto-2,mixed_voice,0,1,0,0,0,0
Y,190.0000000000004,247.25632992710166,3.5142058024577865,10.355999954744021,EN-Alto-2,mixed_voice,0,1,0,0,0,0
UW1,2159.999999999999,296.8268320584451,20.232460608694353,69.54974928152598,EN-Alto-2,mixed_voice,0,1,0,0,0,1
<AP>,711.0000000000003,61.116769296439266,1.1326177267572228,3.869925498751037,EN-Alto-2,mixed_voice,0,0,0,0,0,0
V,40.0,311.08537049512535,1.926124072941378,4.716750398150168,EN-Tenor-1,glissando,1,0,0,0,0,0
AE1,290.00000000000006,312.3803007897069,2.9517421290707,10.50214347881979,EN-Tenor-1,glissando,1,0,0,0,0,0
N,99.99999999999997,328.4419449606852,12.031352464493821,37.773490997827366,EN-Tenor-1,glissando,1,0,0,0,0,1
IH0,159.99999999999997,359.3581081499551,1.5656297838494997,5.688008703668345,EN-Tenor-1,glissando,1,0,0,0,0,0
T,60.99999999999994,364.7597328089455,0.34705132855817694,0.9736899895700049,EN-Tenor-1,glissando,1,0,0,0,0,0
W,39.99999999999992,329.4877679665991,5.289790541774172,14.551978232681222,EN-Tenor-1,glissando,1,0,0,0,0,0
EH1,330.00000000000006,372.970427422489,17.415713065848028,52.8957488274599,EN-Tenor-1,glissando,1,0,0,0,0,1
N,60.00000000000006,400.3935762216019,7.5840629461926286,17.5165751444805,EN-Tenor-1,glissando,1,0,0,0,0,0
AY1,299.99999999999983,352.2548676561696,30.29984246464077,93.67296238579678,EN-Tenor-1,glissando,1,0,0,0,0,0
S,160.00000000000014,301.72900592557016,8.811190680245113,23.791182947756113,EN-Tenor-1,glissando,1,0,0,0,0,0
AO1,290.00000000000006,319.8655178443472,3.61190532906748,12.124776636058584,EN-Tenor-1,glissando,1,0,0,0,0,0
Y,123.0,327.5305643471258,14.968368787241873,42.47344291524115,EN-Tenor-1,glissando,1,0,0,0,0,0
AO1,136.0000000000001,359.3763274458971,1.418149447560702,4.3545053108300635,EN-Tenor-1,glissando,1,0,0,0,0,0
R,109.99999999999987,355.1002893148704,9.017473458706506,27.09530076657728,EN-Tenor-1,glissando,1,0,0,0,0,0
F,1320.9999999999998,391.8349435745366,17.637167562904324,55.65486757832866,EN-Tenor-1,glissando,1,0,0,0,0,1
EY1,280.0000000000002,404.6715706834837,2.3001635710371997,10.776861627569815,EN-Tenor-1,glissando,1,0,0,0,0,0
S,126.00000000000034,393.96848932335973,3.3264019600784747,9.235747074474716,EN-Tenor-1,glissando,1,0,0,0,0,0
AA1,221.99999999999955,371.11426392922573,10.858141221942914,44.54914089354759,EN-Tenor-1,glissando,1,0,0,0,0,1
L,156.00000000000057,401.9547113241181,2.376694375860679,7.171940358973359,EN-Tenor-1,glissando,1,0,0,0,0,0
AY1,341.99999999999966,399.8634919804831,2.8668045023082236,13.276889226034541,EN-Tenor-1,glissando,1,0,0,0,0,0
AE1,179.99999999999972,404.11907026405345,2.240910753194286,8.980591050810347,EN-Tenor-1,glissando,1,0,0,0,0,0
N,40.000000000000036,403.77986481520367,3.002179527271428,8.015917229847105,EN-Tenor-1,glissando,1,0,0,0,0,0
S,179.99999999999972,398.14811671917056,15.81234844155855,49.97595477627567,EN-Tenor-1,glissando,1,0,0,0,0,0
EY1,373.0000000000002,383.59463544324467,14.195905732386437,36.09466578327584,EN-Tenor-1,glissando,1,0,0,0,0,1
IH1,272.0000000000002,352.813381963109,23.208065596354512,81.57650140845618,EN-Tenor-1,glissando,1,0,0,0,0,0
Z,245.99999999999955,307.60860310772404,10.242775605948568,34.82041297101665,EN-Tenor-1,glissando,1,0,0,0,0,0
